,path,constraint,severity,message,id,focus,value
0,:version,sh:MinCountConstraintComponent,sh:Violation,"Version missing, not typed integer, cardinality",_:n20832d506552497a9d1a2153b09f3df6b2,<https://doi.org/10.4211/hs.d2bab32e7c1d4d55b8cba7221e51b02d>,
1,:license,sh:NodeKindConstraintComponent,sh:Info,License information not available,_:n20832d506552497a9d1a2153b09f3df6b3,<https://doi.org/10.4211/hs.d2bab32e7c1d4d55b8cba7221e51b02d>,_:n20832d506552497a9d1a2153b09f3df6b4
2,:version,sh:MinCountConstraintComponent,sh:Violation,"Version missing, not typed integer, cardinality",_:nfdf21ecea06a48e98e3a0cf6a01eb56fb2,<https://www.hydroshare.org/resource/e45b0d95e6174233bbc90d38307d3fbd>,
3,:license,sh:NodeKindConstraintComponent,sh:Info,License information not available,_:nfdf21ecea06a48e98e3a0cf6a01eb56fb3,<https://www.hydroshare.org/resource/e45b0d95e6174233bbc90d38307d3fbd>,_:nfdf21ecea06a48e98e3a0cf6a01eb56fb4
4,:license,sh:NodeKindConstraintComponent,sh:Info,License information not available,_:n7460d4c54fe8455c873eb042323136d2b2,<https://www.hydroshare.org/resource/eaa33453bcc04130887ec8520890615e>,_:n7460d4c54fe8455c873eb042323136d2b3
5,:version,sh:MinCountConstraintComponent,sh:Violation,"Version missing, not typed integer, cardinality",_:n7460d4c54fe8455c873eb042323136d2b4,<https://www.hydroshare.org/resource/eaa33453bcc04130887ec8520890615e>,
6,:license,sh:NodeKindConstraintComponent,sh:Info,License information not available,_:nb7ef429a98f7464d8ed300bf66050288b2,<https://www.hydroshare.org/resource/f787434eb92a48d9a744952778ab1d32>,_:nb7ef429a98f7464d8ed300bf66050288b3
7,:version,sh:MinCountConstraintComponent,sh:Violation,"Version missing, not typed integer, cardinality",_:nb7ef429a98f7464d8ed300bf66050288b4,<https://www.hydroshare.org/resource/f787434eb92a48d9a744952778ab1d32>,
8,:license,sh:NodeKindConstraintComponent,sh:Info,License information not available,_:na742957843264387bec8c61a7baca08fb2,<https://www.hydroshare.org/resource/aa80fdc3150b45009c6b22d60ba4e7a6>,_:na742957843264387bec8c61a7baca08fb3
9,:version,sh:MinCountConstraintComponent,sh:Violation,"Version missing, not typed integer, cardinality",_:na742957843264387bec8c61a7baca08fb4,<https://www.hydroshare.org/resource/aa80fdc3150b45009c6b22d60ba4e7a6>,
